date,RV,RQ,RS_plus,RS_minus,delta_J,BV,TPQ,MedRQ,nobs
1997-09-04,6.0419127e-05,1.301635e-12,3.60492869e-05,2.436984e-05,1.16794469e-05,5.4434015e-05,1.2220180000000001e-12,4.186363000000001e-13,78
1997-09-05,5.8213854e-05,1.3657500000000001e-12,3.72568766e-05,2.0956977e-05,1.62998996e-05,5.6840704e-05,1.124256e-12,4.0076120000000014e-13,78
1997-09-08,5.9008487e-05,1.924113e-12,2.59102852e-05,3.3098202e-05,-7.187916799999999e-06,4.6652328e-05,5.839414000000001e-13,3.9270780000000004e-13,78
1997-09-09,0.000226974222,4.176528e-11,7.772893840000001e-05,0.000149245284,-7.151634559999999e-05,0.000250894845,7.235689e-11,3.2192390000000004e-11,78
1997-09-10,6.108712899999999e-05,1.4365380000000001e-12,3.474130530000001e-05,2.6345824000000003e-05,8.395481300000002e-06,5.9485587e-05,1.1421830000000002e-12,7.702965000000002e-13,78
1997-09-11,4.8272563e-05,1.2857630000000005e-12,2.38315692e-05,2.4440994e-05,-6.094247999999997e-07,3.961703e-05,7.435103e-13,2.452871e-13,78
1997-09-12,5.588104900000001e-05,1.244988e-12,3.5205788900000006e-05,2.067526e-05,1.45305289e-05,5.0285890000000005e-05,8.230199000000001e-13,3.557185000000001e-13,78
1997-09-15,8.789430700000002e-05,3.457691e-12,2.70488705e-05,6.0845436e-05,-3.3796565499999997e-05,7.1425939e-05,1.3420990000000001e-12,1.7553760000000005e-12,78
1997-09-16,0.000299324027,4.0098740000000005e-11,0.0001263739876999,0.000172950039,-4.6576051300000024e-05,0.000290656684,3.042053e-11,1.327303e-11,78
1997-09-17,9.7606782e-05,3.67567e-12,5.63836398e-05,4.1223142e-05,1.5160497799999996e-05,8.7028633e-05,5.068749000000001e-12,3.0505390000000007e-12,78
1997-09-18,7.269771900000001e-05,2.6607890000000002e-12,1.81553515e-05,5.4542368e-05,-3.63870165e-05,5.0277483e-05,1.1653010000000005e-12,8.332334000000001e-13,78
1997-09-19,0.000353390875,8.352099000000002e-11,0.0001368378351,0.00021655304,-7.971520490000002e-05,0.000402488207,1.1045639999999999e-10,2.8495650000000004e-11,78
1997-09-22,0.000143145443,9.443799e-12,6.625702020000001e-05,7.6888423e-05,-1.063140279999999e-05,0.000157649867,1.5941140000000004e-11,8.084165000000001e-12,78
