date,RV,RQ,RS_plus,RS_minus,delta_J,BV,nobs,RQ_rv2
2005-09-08,6.034918703519262e-06,1.8145362376825635e-11,4.7228441503799826e-06,1.3120745531392791e-06,3.4107695972407036e-06,4.25973736007581e-06,1540.0,3.642024375808661e-11
2005-09-11,1.2398699914776492e-05,5.998007772949809e-11,8.770557097588005e-06,3.628142817188487e-06,5.142414280399518e-06,7.74468060861764e-06,1540.0,1.5372775957667858e-10
2005-09-12,2.279989890925922e-05,3.935547474536227e-10,1.0346528918704078e-05,1.2453369990555142e-05,-2.1068410718510643e-06,1.98382143211939e-05,1540.0,5.198353902724398e-10
2005-09-13,1.4471837222722211e-05,1.4536378821245756e-10,3.065921504762732e-06,1.140591571795948e-05,-8.339994213196748e-06,1.2056690599516004e-05,1537.0,2.0943407260096814e-10
2005-09-14,1.807064927635953e-05,2.623313474864614e-10,6.614318492962812e-06,1.1456330783396717e-05,-4.842012290433904e-06,1.6196646180196115e-05,1540.0,3.2654836526919314e-10
2005-09-15,1.2971896157741078e-05,1.5288144373099363e-10,8.59689167494738e-06,4.375004482793698e-06,4.221887192153682e-06,1.2364523594987136e-05,1540.0,1.6827008992721774e-10
2005-09-18,1.0026908273037033e-05,6.51760124684773e-11,2.6032833283380337e-06,7.423624944698999e-06,-4.820341616360965e-06,8.073166198492218e-06,1541.0,1.0053888951589849e-10
2005-09-19,4.874058643165905e-05,2.449629527183195e-09,4.03114106312501e-06,4.470944536853404e-05,-4.067830430540903e-05,4.949373220098879e-05,1540.0,2.375644765702026e-09
2005-09-20,4.6232950855007375e-05,1.5204542541344658e-09,1.588629502166683e-05,3.0346655833340547e-05,-1.4460360811673718e-05,3.899300263040108e-05,1532.0,2.1374857447615273e-09
2005-09-21,4.76674028397351e-05,2.0419106888005116e-09,2.6871394452348186e-05,2.079600838738691e-05,6.075386064961275e-06,4.518750589267471e-05,1540.0,2.2721812934855857e-09
2005-09-22,1.660428506431361e-05,2.608497474227231e-10,1.3301061440567695e-05,3.3032236237459157e-06,9.99783781682178e-06,1.615084355142861e-05,1540.0,2.7570228249698805e-10
2005-09-25,2.544964564347632e-05,3.522643643557569e-10,1.1371866355243686e-05,1.4077779288232635e-05,-2.7059129329889496e-06,1.8768707050720273e-05,1540.0,6.476844633785133e-10
2005-09-26,3.102018464523734e-05,7.243269633442252e-10,1.9947978940484723e-05,1.1072205704752616e-05,8.875773235732105e-06,2.691332315683489e-05,1540.0,9.622518554246182e-10
2005-09-27,3.900360969688051e-05,9.017577324203949e-10,1.8401758865999813e-05,2.06018508308807e-05,-2.2000919648808867e-06,3.002928125047942e-05,1519.0,1.5212815693865915e-09
2005-09-28,3.965539596506541e-05,8.351196583606726e-10,3.273998244554616e-05,6.915413519519251e-06,2.5824568926026907e-05,2.889843695359098e-05,1537.0,1.572550429146126e-09
